order_item_id,order_id,variant_id,price,quantity
OI000001_1,O000001,V02047,313493,1
OI000001_2,O000001,V03203,236248,1
OI000001_3,O000001,V02665,471643,3
OI000002_1,O000002,V05986,125118,1
OI000003_1,O000003,V04967,170002,2
OI000003_2,O000003,V00831,467565,2
OI000004_1,O000004,V07613,482534,1
OI000005_1,O000005,V01203,512621,2
OI000005_2,O000005,V01329,568142,1
OI000006_1,O000006,V02828,283211,1
OI000006_2,O000006,V04755,291791,3
OI000007_1,O000007,V03066,325607,1
OI000007_2,O000007,V05646,333937,3
OI000007_3,O000007,V02012,323035,3
OI000008_1,O000008,V07048,520988,3
OI000008_2,O000008,V01927,326523,2
OI000009_1,O000009,V05085,446496,2
OI000009_2,O000009,V00335,381400,1
OI000010_1,O000010,V04154,558326,2
OI000011_1,O000011,V07854,211749,1
OI000011_2,O000011,V04230,416616,3
OI000012_1,O000012,V07288,599703,2
OI000012_2,O000012,V01994,155610,1
OI000013_1,O000013,V07354,544211,1
OI000013_2,O000013,V03466,305360,3
OI000014_1,O000014,V05559,454720,3
OI000014_2,O000014,V07709,298723,2
OI000014_3,O000014,V06421,210029,3
OI000015_1,O000015,V07775,317201,2
OI000015_2,O000015,V00641,336864,3
OI000015_3,O000015,V01433,517010,1
OI000016_1,O000016,V03941,116201,3
OI000016_2,O000016,V06950,288443,2
OI000017_1,O000017,V04953,336083,1
OI000018_1,O000018,V06588,299449,2
OI000019_1,O000019,V03527,560599,1
OI000019_2,O000019,V05252,377755,2
OI000020_1,O000020,V07903,492388,3
OI000020_2,O000020,V05745,107574,2
OI000020_3,O000020,V01712,484976,2
OI000021_1,O000021,V00938,213559,2
OI000021_2,O000021,V03642,128330,3
OI000021_3,O000021,V04801,252809,3
OI000022_1,O000022,V07642,286548,3
OI000022_2,O000022,V07247,289887,3
OI000023_1,O000023,V05725,149361,1
OI000023_2,O000023,V07942,347403,2
OI000023_3,O000023,V00289,410888,1
OI000024_1,O000024,V00110,271027,1
OI000024_2,O000024,V05560,478878,2
OI000025_1,O000025,V03688,526140,3
OI000026_1,O000026,V06437,408869,1
OI000026_2,O000026,V07784,507716,3
