order_id,user_id,total_price,status,created_at
O000001,U02371,1998379,CANCEL,2025-09-22T22:05:48.464
O000002,U03648,1919165,CANCEL,2025-12-17T10:04:48.465
O000003,U07627,2370707,PAID,2025-08-29T18:25:48.465
O000004,U03240,365041,PAID,2025-10-13T06:28:48.465
O000005,U00946,2898516,CANCEL,2025-09-05T04:03:48.465
O000006,U06911,949358,PENDING,2026-01-06T23:59:48.465
O000007,U03158,3029355,PAID,2025-09-01T18:25:48.465
O000008,U06616,2408953,PAID,2025-10-14T06:17:48.465
O000009,U07903,2698329,CANCEL,2025-09-28T00:39:48.465
O000010,U08958,652024,CANCEL,2025-11-27T03:18:48.465
O000011,U06472,1009125,PAID,2025-11-22T15:05:48.465
O000012,U02220,1695213,PAID,2025-10-04T18:44:48.465
O000013,U07126,2474067,PAID,2025-11-20T07:15:48.465
O000014,U05461,1655365,PAID,2025-09-16T06:58:48.465
O000015,U03383,299327,PAID,2025-12-18T23:17:48.465
O000016,U08065,2254248,CANCEL,2025-10-24T22:33:48.465
O000017,U06995,1937428,PENDING,2025-10-17T17:02:48.465
O000018,U01060,1914415,PAID,2025-11-17T16:17:48.465
O000019,U09709,426154,CANCEL,2026-01-10T17:43:48.465
O000020,U03174,2824474,CANCEL,2025-11-14T22:30:48.465
O000021,U04115,1514770,CANCEL,2025-09-28T05:53:48.465
O000022,U05148,1296066,PAID,2025-11-19T14:17:48.465
O000023,U04678,1096651,PENDING,2025-09-08T21:57:48.466
O000024,U03070,2613935,PENDING,2026-01-03T13:49:48.466
O000025,U07192,190707,PENDING,2025-09-05T10:56:48.466
O000026,U07335,1667865,CANCEL,2025-09-17T04:20:48.466
O000027,U04106,751309,PAID,2025-09-27T22:25:48.466
O000028,U01438,1804186,PENDING,2025-11-11T19:14:48.466
O000029,U04522,1500201,CANCEL,2025-09-25T19:09:48.466
O000030,U09512,2648004,PENDING,2026-01-07T03:50:48.466
O000031,U01259,1286150,PENDING,2025-10-11T09:33:48.466
O000032,U07703,2257022,CANCEL,2026-01-02T19:59:48.466
O000033,U01480,1268579,PENDING,2025-11-15T23:19:48.466
O000034,U02564,1730259,PENDING,2025-12-07T19:08:48.466
O000035,U02823,1092013,PENDING,2026-01-12T03:55:48.466
O000036,U00805,557696,PENDING,2025-09-10T08:29:48.466
O000037,U04108,1307359,PENDING,2026-01-04T20:19:48.467
O000038,U03440,1984990,CANCEL,2025-10-14T18:06:48.467
O000039,U07983,352082,CANCEL,2025-10-23T09:11:48.467
O000040,U01412,1225861,PAID,2025-09-26T15:45:48.467
O000041,U01203,1904782,PENDING,2025-10-10T08:28:48.467
O000042,U07197,2110899,CANCEL,2025-09-03T05:58:48.467
O000043,U03304,239317,PENDING,2025-12-11T12:48:48.467
O000044,U00400,2912425,PENDING,2025-11-12T16:26:48.467
O000045,U00309,338510,PENDING,2025-10-01T05:48:48.467
O000046,U03915,411944,CANCEL,2025-08-27T01:38:48.467
O000047,U00952,2610777,PAID,2025-10-12T16:33:48.467
O000048,U07584,216058,CANCEL,2025-09-20T23:40:48.467
O000049,U04152,491928,PENDING,2025-09-18T08:51:48.467
O000050,U07944,757867,PAID,2025-11-07T03:24:48.467
O000051,U01590,2582828,PAID,2025-10-06T15:35:48.467
O000052,U01362,1643143,CANCEL,2025-11-15T03:38:48.467
O000053,U03003,1892807,CANCEL,2025-12-26T02:08:48.467
O000054,U09002,2229349,PENDING,2025-12-06T00:27:48.467
O000055,U00334,1143257,PAID,2025-10-13T07:28:48.467
O000056,U00267,2387340,PAID,2025-10-29T13:17:48.467
O000057,U06104,1344765,PENDING,2025-11-06T18:50:48.467
O000058,U08985,2869317,PENDING,2025-09-13T21:20:48.467
O000059,U04712,1803004,PENDING,2025-09-07T00:37:48.467
O000060,U06805,3055608,CANCEL,2025-08-31T09:05:48.467
O000061,U00558,2159898,CANCEL,2025-10-05T16:43:48.467
O000062,U04198,331798,PENDING,2025-10-25T06:54:48.467
O000063,U00092,790836,CANCEL,2025-10-27T13:55:48.467
O000064,U06896,2132965,CANCEL,2026-01-05T14:12:48.467
O000065,U02692,2973323,CANCEL,2025-11-16T06:23:48.467
O000066,U00276,2024913,CANCEL,2026-01-04T23:42:48.468
O000067,U01875,2329533,PENDING,2025-10-26T15:19:48.468
