variant_id,product_id,size,color,price,stock
V00001,P0001,S,Black,167775,52
V00002,P0001,S,White,320002,6
V00003,P0001,S,Red,344142,27
V00004,P0001,S,Blue,287860,27
V00005,P0001,M,Black,138939,52
V00006,P0001,M,White,224120,16
V00007,P0001,M,Red,543331,51
V00008,P0001,M,Blue,527720,72
V00009,P0001,L,Black,122648,5
V00010,P0001,L,White,347817,41
V00011,P0001,L,Red,225974,6
V00012,P0001,L,Blue,218936,3
V00013,P0001,XL,Black,488996,78
V00014,P0001,XL,White,147538,98
V00015,P0001,XL,Red,472042,48
V00016,P0001,XL,Blue,336191,22
V00017,P0002,S,Black,483369,54
V00018,P0002,S,White,298972,93
V00019,P0002,S,Red,448410,20
V00020,P0002,S,Blue,341380,12
V00021,P0002,M,Black,149799,1
V00022,P0002,M,White,495611,64
V00023,P0002,M,Red,258880,71
V00024,P0002,M,Blue,471479,15
V00025,P0002,L,Black,298172,80
V00026,P0002,L,White,184683,27
V00027,P0002,L,Red,288781,73
V00028,P0002,L,Blue,406577,7
V00029,P0002,XL,Black,579773,71
V00030,P0002,XL,White,363923,29
V00031,P0002,XL,Red,463370,90
V00032,P0002,XL,Blue,216630,17
V00033,P0003,S,Black,417180,98
V00034,P0003,S,White,309571,59
V00035,P0003,S,Red,272991,58
V00036,P0003,S,Blue,564819,76
V00037,P0003,M,Black,177570,79
V00038,P0003,M,White,287991,59
V00039,P0003,M,Red,253226,85
V00040,P0003,M,Blue,473921,59
V00041,P0003,L,Black,150547,42
V00042,P0003,L,White,168115,33
V00043,P0003,L,Red,137637,95
V00044,P0003,L,Blue,231618,80
V00045,P0003,XL,Black,188719,49
V00046,P0003,XL,White,495206,21
V00047,P0003,XL,Red,334018,65
V00048,P0003,XL,Blue,172193,22
V00049,P0004,S,Black,228012,75
V00050,P0004,S,White,298057,63
V00051,P0004,S,Red,385520,78
V00052,P0004,S,Blue,185876,67
V00053,P0004,M,Black,388639,88
V00054,P0004,M,White,326431,97
V00055,P0004,M,Red,223893,74
V00056,P0004,M,Blue,373915,98
V00057,P0004,L,Black,183602,23
V00058,P0004,L,White,441300,36
V00059,P0004,L,Red,366451,66
V00060,P0004,L,Blue,564575,14
V00061,P0004,XL,Black,448044,10
